CUSTOMER,NUMBER_OF_LATE_PAYMENTS,NUMBER_OF_CREDIT_APPLICATIONS,DECLARED_BANKRUPTCY_IN_PAST_7_YRS,AVERAGE_MONTHLY_FEE,CREDIT_SCORE,SATISFACTION,DEFAULT,AVERAGE_CASH_BALANCE,AGE,AGE_RANGE,GENDER,NUMBER_OF_PRODUCTS,CUST_ACQUISITION_YEAR,NO_OF_UNIQUE_PRODUCTS,NO_OF_UNIQUE_PRODUCTS_GROUPED,EQUITIES_BALANCE,INITIAL_MORTGAGE_AMT,ADDRESS_CHANGES,HOUSEHOLD_ID,CLIENTS_IN_HOUSEHOLD,AVERAGE_CREDIT_CARD_BALANCE,CUSTOMER_TYPE,HOME_BRANCH_CITY,HOME_BRANCH_STATE,SALESPERSON,CHURN,COUNT,BANKID
ID7293,0,0,No,97,585,3,0,25K,68,60-69,Male,1,2010,6,1 to 10,4000,Less than 150K,0,6293,1,6000,Personal,Tulsa OK,Oklahoma,ID11,no,1,N
ID7294,0,0,No,87,585,4,0,25K,27,20-29,Female,1,2006,15,11 to 20,33000,Less than 150K,2,6294,2,10500,Personal,Tulsa OK,Oklahoma,ID8,no,1,N
ID7295,66,57,No,93,693,2,0,1K,62,60-69,Female,2,2009,46,41 to 50,5000,Less than 150K,0,6295,1,6500,Personal,Oklahoma City OK,Oklahoma,ID21,yes,1,N
ID7296,,,Yes,,585,4,1,1K,34,30-39,Male,1,2003,0,0,3000,Less than 150K,3,6296,3,9000,Personal,Tulsa OK,Oklahoma,ID8,no,1,N
ID7297,28,6,No,94,693,5,0,25K,44,40-49,Female,1,2006,17,11 to 20,3000,300K+,1,6297,1,0,Small Business,Oklahoma City OK,Oklahoma,ID14,yes,1,N
ID7298,29,24,No,104,693,4,0,10K,41,40-49,Female,1,2005,1,1 to 10,8000,300K+,1,6298,1,9000,Small Business,Oklahoma City OK,Oklahoma,ID11,yes,1,N
ID7299,59,81,No,100,585,3,1,1K,38,30-39,Female,2,2003,4,1 to 10,3000,300K+,0,6299,1,3000,Small Business,Tulsa OK,Oklahoma,ID14,yes,1,N
ID7300,32,155,No,114,693,2,1,1K,21,20-29,Male,1,2003,17,11 to 20,2000,300K+,0,6300,1,0,Small Business,Oklahoma City OK,Oklahoma,ID14,yes,1,N
ID7301,8,3,No,105,693,3,1,1K,16,0-19,Female,1,2012,17,11 to 20,8000,150K - 300K,3,6301,3,19000,Small Business,Oklahoma City OK,Oklahoma,ID11,no,1,N
ID7302,24,41,No,113,693,2,1,1K,20,20-29,Female,1,2007,27,21 to 30,10000,Less than 150K,1,6302,1,6500,Small Business,Oklahoma City OK,Oklahoma,ID14,yes,1,N
ID7303,0,34,No,53,296,4,1,1K,64,60-69,Male,1,2004,15,11 to 20,9000,300K+,0,6303,1,9000,Corporate,Columbus OH,Ohio,ID13,yes,1,N
ID7304,0,0,No,48,296,4,1,25K,41,40-49,Female,1,2008,9,1 to 10,6000,300K+,0,6304,1,5000,Corporate,Columbus OH,Ohio,ID18,no,1,N
ID7305,17,10,No,53,315,5,1,10K,60,60-69,Male,1,2004,4,1 to 10,3000,300K+,0,6305,1,20000,Corporate,Cleveland OH,Ohio,ID12,yes,1,N
ID7306,95,82,No,43,296,3,0,10K,38,30-39,Female,1,2004,0,0,33000,150K - 300K,1,6306,1,0,Corporate,Columbus OH,Ohio,ID21,yes,1,N
ID7307,0,0,No,45,296,2,0,1K,24,20-29,Male,2,2004,33,31 to 40,3000,Less than 150K,0,6307,1,10500,Corporate,Columbus OH,Ohio,ID18,no,1,N
ID7308,11,7,No,46,315,2,0,1K,44,40-49,Male,1,2005,12,11 to 20,7000,Less than 150K,3,6308,3,5500,Corporate,Cleveland OH,Ohio,ID21,yes,1,N
ID7309,6,0,No,47,296,3,0,1K,65,60-69,Female,1,2009,1,1 to 10,7000,Less than 150K,0,6309,1,3000,Corporate,Columbus OH,Ohio,ID13,no,1,N
ID7310,0,0,No,48,296,3,0,1K,76,70-79,Female,1,2012,16,11 to 20,3000,Less than 150K,0,6310,1,9000,Corporate,Columbus OH,Ohio,ID18,no,1,N
ID7311,25,65,No,47,315,4,1,1K,31,30-39,Male,1,2005,22,21 to 30,19000,300K+,1,6311,1,5500,Personal,Cleveland OH,Ohio,ID11,yes,1,N
ID8760,31,22,No,132,1013,3,0,25K,80,80+,Male,1,2012,25,21 to 30,10000,Less than 150K,0,7760,1,16000,Personal,Pittsburgh PA,Pennsylvania,ID20,yes,1,N
ID8761,17,20,No,142,1013,4,0,1K,52,50-59,Female,2,2011,0,0,6000,300K+,0,7761,1,5400,Small Business,Pittsburgh PA,Pennsylvania,ID8,yes,1,N
ID8762,0,9,No,161,1080,5,1,25K,53,50-59,Female,0,2010,16,11 to 20,22000,300K+,1,7762,1,6000,Personal,Cleveland OH,Ohio,ID8,yes,1,N
ID8763,51,75,No,137,990,4,1,1K,57,50-59,Male,1,2006,0,0,8000,300K+,0,7763,1,0,Personal,Columbus OH,Ohio,ID20,yes,1,N
ID8764,6,0,No,142,1080,5,0,10K,38,30-39,Male,1,2009,4,1 to 10,8000,300K+,0,7764,1,23500,Personal,Cleveland OH,Ohio,ID19,no,1,N
ID8765,0,9,No,150,1080,5,0,25K,52,50-59,Female,1,2006,24,21 to 30,12000,300K+,1,7765,1,500,Personal,Cleveland OH,Ohio,ID8,yes,1,N
ID8766,0,0,No,150,1080,5,0,10K,48,40-49,Female,2,2012,7,1 to 10,36000,300K+,1,7766,1,9000,Personal,Cleveland OH,Ohio,ID8,no,1,N
ID8767,44,55,No,140,990,5,1,25K,43,40-49,Female,2,2007,38,31 to 40,4000,300K+,2,7767,2,0,Personal,Columbus OH,Ohio,ID10,yes,1,N
ID8768,0,0,No,130,990,5,0,1K,53,50-59,Female,1,2009,6,1 to 10,8000,300K+,4,7768,4,10000,Personal,Columbus OH,Ohio,ID20,no,1,N
ID8769,0,0,No,156,1080,5,1,25K,48,40-49,Female,2,2008,6,1 to 10,4000,300K+,0,7769,1,24000,Personal,Cleveland OH,Ohio,ID8,no,1,N
ID8770,0,4,No,162,1080,4,0,25K,38,30-39,Male,1,2009,56,51 to 60,10000,300K+,2,7770,2,5500,Personal,Cleveland OH,Ohio,ID19,no,1,N
ID8771,0,3,No,159,1080,4,1,1K,63,60-69,Female,1,2005,29,21 to 30,2000,300K+,0,7771,1,8000,Personal,Cleveland OH,Ohio,ID19,no,1,N
ID8772,0,0,No,144,1080,3,1,1K,33,30-39,Male,1,2003,6,1 to 10,10000,300K+,0,7772,1,4500,Personal,Cleveland OH,Ohio,ID19,no,1,N
ID8773,0,0,No,129,990,2,0,1K,80,80+,Male,1,2007,0,0,5000,300K+,0,7773,1,10500,Personal,Columbus OH,Ohio,ID20,no,1,N
ID8774,0,0,No,149,1080,4,0,25K,38,30-39,Female,2,2007,8,1 to 10,7000,300K+,1,7774,1,11600,Personal,Cleveland OH,Ohio,ID9,no,1,N
ID8775,0,0,No,135,990,4,1,25K,26,20-29,Female,1,2007,22,21 to 30,3000,300K+,0,7775,1,10000,Personal,Columbus OH,Ohio,ID10,no,1,N
ID8776,0,0,No,135,990,4,0,1K,44,40-49,Female,1,2011,4,1 to 10,9000,150K - 300K,0,7776,1,10500,Personal,Columbus OH,Ohio,ID20,no,1,N
ID8777,0,0,No,152,1080,3,1,1K,47,40-49,Female,1,2009,18,11 to 20,29000,150K - 300K,1,7777,1,3000,Personal,Cleveland OH,Ohio,ID8,no,1,N
ID8778,0,4,No,150,1080,4,0,1K,55,50-59,Male,1,2011,17,11 to 20,6000,150K - 300K,0,7778,1,0,Personal,Cleveland OH,Ohio,ID19,no,1,N
ID8779,0,12,No,141,990,2,1,1K,79,70-79,Female,1,2005,48,41 to 50,9000,Less than 150K,0,7779,1,6000,Personal,Columbus OH,Ohio,ID20,yes,1,N
ID8780,0,0,No,158,1080,4,1,25K,49,40-49,Female,1,2012,8,1 to 10,5000,Less than 150K,2,7780,2,9000,Personal,Cleveland OH,Ohio,ID19,no,1,N
ID8781,0,0,No,143,1080,2,0,1K,65,60-69,Female,2,2010,39,31 to 40,5000,Less than 150K,0,7781,1,4500,Personal,Cleveland OH,Ohio,ID19,no,1,N
ID8782,13,16,No,144,990,3,0,25K,76,70-79,Female,2,2004,23,21 to 30,5000,Less than 150K,0,7782,1,4400,Personal,Columbus OH,Ohio,ID10,yes,1,N
ID8783,0,0,No,145,1080,3,0,1K,80,80+,Male,1,2005,57,51 to 60,10000,Less than 150K,0,7783,1,3500,Personal,Cleveland OH,Ohio,ID19,no,1,N
ID8784,0,0,No,160,1080,3,1,1K,16,0-19,Male,2,2010,10,11 to 20,4000,Less than 150K,1,7784,1,6500,Personal,Cleveland OH,Ohio,ID8,no,1,N
ID8785,37,67,No,152,1080,3,0,1K,52,50-59,Female,1,2009,15,11 to 20,2000,150K - 300K,0,7785,1,200,Small Business,Cleveland OH,Ohio,ID19,yes,1,N
ID8786,0,12,No,98,650,4,1,1K,41,40-49,Male,1,2011,13,11 to 20,6000,300K+,4,7786,4,12000,Corporate,Charlotte NC,North Carolina,ID14,yes,1,N
ID8787,0,0,No,103,650,5,1,1K,39,30-39,Male,1,2011,15,11 to 20,5000,300K+,2,7787,2,2000,Corporate,Charlotte NC,North Carolina,ID14,no,1,N
ID8788,0,0,No,109,710,3,0,1K,80,80+,Female,1,2012,20,11 to 20,7000,Less than 150K,0,7788,1,5000,Corporate,Greensboro/High Point NC,North Carolina,ID20,no,1,N
ID8789,0,7,No,105,650,3,0,25K,66,60-69,Male,1,2005,27,21 to 30,8000,Less than 150K,0,7789,1,4500,Corporate,Charlotte NC,North Carolina,ID8,yes,1,N
ID8790,1,19,No,112,710,4,0,1K,36,30-39,Male,1,2004,15,11 to 20,16000,300K+,2,7790,2,5000,Personal,Greensboro/High Point NC,North Carolina,ID20,yes,1,N
ID8791,0,0,No,103,650,4,0,25K,51,50-59,Female,1,2003,23,21 to 30,6000,300K+,0,7791,1,5000,Personal,Charlotte NC,North Carolina,ID16,no,1,N
ID8792,0,5,No,106,650,4,0,1K,66,60-69,Male,1,2003,14,11 to 20,7000,300K+,0,7792,1,2000,Personal,Charlotte NC,North Carolina,ID8,no,1,N
ID8793,0,0,No,98,710,5,0,10K,43,40-49,Male,2,2009,3,1 to 10,19000,300K+,1,7793,1,3000,Personal,Greensboro/High Point NC,North Carolina,ID20,no,1,N
ID8794,105,105,No,108,650,4,0,1K,52,50-59,Female,1,2005,28,21 to 30,1000,300K+,0,7794,1,6000,Personal,Charlotte NC,North Carolina,ID8,yes,1,N
ID8795,0,0,No,97,650,4,0,25K,32,30-39,Female,1,2008,0,0,15000,300K+,2,7795,2,8000,Personal,Charlotte NC,North Carolina,ID7,no,1,N
ID8796,0,0,No,101,650,5,1,25K,50,50-59,Male,1,2006,9,1 to 10,5000,300K+,0,7796,1,6000,Personal,Charlotte NC,North Carolina,ID16,no,1,N
ID8797,44,48,No,103,710,4,0,10K,28,20-29,Female,2,2008,17,11 to 20,9000,300K+,0,7797,1,3000,Personal,Greensboro/High Point NC,North Carolina,ID20,yes,1,N
ID8798,0,13,No,101,650,4,1,25K,61,60-69,Female,1,2009,14,11 to 20,10000,300K+,0,7798,1,6500,Personal,Charlotte NC,North Carolina,ID11,yes,1,N
ID8799,0,10,No,103,650,3,1,25K,29,20-29,Male,1,2006,18,11 to 20,5000,300K+,2,7799,2,17700,Personal,Charlotte NC,North Carolina,ID7,yes,1,N
ID8800,0,0,No,99,650,4,1,25K,29,20-29,Female,1,2010,5,1 to 10,8000,300K+,1,7800,1,3000,Personal,Charlotte NC,North Carolina,ID21,no,1,N
ID8801,0,0,No,92,650,3,0,1K,47,40-49,Male,2,2007,4,1 to 10,8000,300K+,3,7801,3,7500,Personal,Charlotte NC,North Carolina,ID7,no,1,N
ID8802,0,1,No,100,650,4,1,1K,46,40-49,Female,1,2006,18,11 to 20,10000,300K+,1,7802,1,6000,Personal,Charlotte NC,North Carolina,ID14,no,1,N
ID8803,0,0,No,104,710,4,1,1K,24,20-29,Female,3,2010,17,11 to 20,10000,300K+,0,7803,1,1700,Personal,Greensboro/High Point NC,North Carolina,ID10,no,1,N
ID8804,110,102,No,92,710,2,0,1K,46,40-49,Male,2,2003,37,31 to 40,7000,300K+,0,7804,1,2000,Personal,Greensboro/High Point NC,North Carolina,ID20,yes,1,N
ID8805,0,0,No,94,650,5,1,5K,44,40-49,Male,1,2010,4,1 to 10,20000,300K+,2,7805,2,10500,Personal,Charlotte NC,North Carolina,ID11,no,1,N
ID8806,0,0,No,104,710,4,0,1K,37,30-39,Male,1,2009,0,0,10000,300K+,3,7806,3,3000,Personal,Greensboro/High Point NC,North Carolina,ID20,no,1,N
ID8807,0,0,No,107,710,4,1,1K,25,20-29,Female,1,2005,49,41 to 50,10000,300K+,3,7807,3,5000,Personal,Greensboro/High Point NC,North Carolina,ID10,no,1,N
ID8808,0,18,No,106,650,3,0,1K,47,40-49,Male,1,2003,18,11 to 20,9000,300K+,0,7808,1,11500,Personal,Charlotte NC,North Carolina,ID11,yes,1,N
ID8809,0,0,No,92,710,4,1,25K,73,70-79,Male,2,2011,23,21 to 30,8000,300K+,0,7809,1,6000,Personal,Greensboro/High Point NC,North Carolina,ID10,no,1,N
ID8810,0,9,No,106,650,4,0,1K,42,40-49,Male,1,2003,15,11 to 20,9000,300K+,0,7810,1,2500,Personal,Charlotte NC,North Carolina,ID7,yes,1,N
ID8811,0,0,No,103,650,4,0,1K,47,40-49,Male,1,2008,10,11 to 20,3000,300K+,0,7811,1,1000,Personal,Charlotte NC,North Carolina,ID16,no,1,N
ID8812,0,0,No,95,650,3,1,25K,37,30-39,Female,1,2004,0,0,1000,300K+,0,7812,1,9000,Personal,Charlotte NC,North Carolina,ID14,no,1,N
ID8813,0,0,No,106,710,3,1,1K,71,70-79,Male,2,2003,26,21 to 30,1000,300K+,0,7813,1,10500,Personal,Greensboro/High Point NC,North Carolina,ID20,no,1,N
ID8814,0,12,No,111,650,5,1,10K,46,40-49,Female,2,2003,15,11 to 20,33000,300K+,1,7814,1,4500,Personal,Charlotte NC,North Carolina,ID8,yes,1,N
ID8815,0,0,No,101,710,4,0,1K,16,0-19,Male,1,2010,8,1 to 10,4000,300K+,3,7815,3,1900,Personal,Greensboro/High Point NC,North Carolina,ID20,no,1,N
ID8816,0,2,No,106,650,4,1,1K,34,30-39,Male,1,2004,3,1 to 10,20000,300K+,2,7816,2,0,Personal,Charlotte NC,North Carolina,ID7,no,1,N
ID8817,0,0,No,103,650,2,0,1K,37,30-39,Male,1,2010,5,1 to 10,5000,300K+,2,7817,2,10500,Personal,Charlotte NC,North Carolina,ID14,no,1,N
ID8818,0,7,No,110,650,2,0,1K,57,50-59,Female,1,2004,52,51 to 60,9000,300K+,0,7818,1,5000,Personal,Charlotte NC,North Carolina,ID21,yes,1,N
ID8819,2,0,No,98,650,3,0,1K,18,0-19,Male,2,2006,34,31 to 40,4000,300K+,1,7819,1,9000,Personal,Charlotte NC,North Carolina,ID14,no,1,N
ID8820,68,65,No,106,710,2,1,10K,43,40-49,Female,1,2008,13,11 to 20,6000,300K+,2,7820,2,4400,Personal,Greensboro/High Point NC,North Carolina,ID20,yes,1,N
ID8821,0,0,No,97,650,4,0,10K,58,50-59,Male,1,2006,10,11 to 20,4000,150K - 300K,0,7821,1,15500,Personal,Charlotte NC,North Carolina,ID11,no,1,N
ID8822,0,0,No,110,650,4,1,1K,36,30-39,Female,1,2010,26,21 to 30,8000,150K - 300K,2,7822,2,6000,Personal,Charlotte NC,North Carolina,ID8,no,1,N
ID8823,0,0,No,98,710,4,1,1K,45,40-49,Male,1,2012,13,11 to 20,8000,150K - 300K,1,7823,1,9000,Personal,Greensboro/High Point NC,North Carolina,ID10,no,1,N
ID8824,56,58,No,100,710,1,0,1K,30,30-39,Female,2,2009,27,21 to 30,23000,150K - 300K,2,7824,2,2000,Personal,Greensboro/High Point NC,North Carolina,ID20,yes,1,N
ID8825,16,3,No,87,650,4,0,10K,41,40-49,Female,2,2003,10,11 to 20,9000,Less than 150K,0,7825,1,15000,Personal,Charlotte NC,North Carolina,ID21,no,1,N
ID8826,0,0,No,107,710,2,0,1K,44,40-49,Male,2,2003,31,31 to 40,5000,Less than 150K,0,7826,1,0,Personal,Greensboro/High Point NC,North Carolina,ID20,no,1,N
ID8827,0,0,No,99,650,4,0,25K,35,30-39,Female,1,2004,17,11 to 20,6000,Less than 150K,1,7827,1,6000,Personal,Charlotte NC,North Carolina,ID21,no,1,N
ID8828,0,5,No,113,650,2,1,1K,72,70-79,Male,2,2003,12,11 to 20,7000,Less than 150K,0,7828,1,0,Personal,Charlotte NC,North Carolina,ID7,no,1,N
ID8829,0,0,No,93,650,1,0,1K,44,40-49,Female,2,2010,34,31 to 40,9000,Less than 150K,1,7829,1,4500,Personal,Charlotte NC,North Carolina,ID14,no,1,N
ID8830,0,0,No,86,650,3,0,1K,64,60-69,Male,2,2003,10,11 to 20,10000,Less than 150K,0,7830,1,18000,Personal,Charlotte NC,North Carolina,ID11,no,1,N
ID8831,36,38,No,95,650,3,1,25K,80,80+,Female,1,2006,28,21 to 30,7000,Less than 150K,0,7831,1,3000,Personal,Charlotte NC,North Carolina,ID21,yes,1,N
ID8832,0,0,No,97,650,3,0,10K,45,40-49,Female,1,2011,8,1 to 10,9000,Less than 150K,2,7832,2,6500,Personal,Charlotte NC,North Carolina,ID14,no,1,N
ID8833,0,0,No,101,650,2,0,1K,48,40-49,Male,1,2006,21,21 to 30,20000,Less than 150K,3,7833,3,5000,Personal,Charlotte NC,North Carolina,ID11,no,1,N
ID8834,0,0,No,103,710,4,0,25K,23,20-29,Male,1,2004,14,11 to 20,8000,Less than 150K,0,7834,1,8500,Personal,Greensboro/High Point NC,North Carolina,ID10,no,1,N
ID8835,0,0,No,103,650,4,0,25K,62,60-69,Male,1,2009,36,31 to 40,9000,Less than 150K,0,7835,1,10500,Personal,Charlotte NC,North Carolina,ID11,no,1,N
ID8836,32,24,No,105,650,2,1,1K,51,50-59,Female,1,2003,25,21 to 30,4000,Less than 150K,0,7836,1,6200,Personal,Charlotte NC,North Carolina,ID8,yes,1,N
ID8837,0,18,No,114,650,2,1,1K,15,0-19,Female,1,2006,31,31 to 40,5000,Less than 150K,4,7837,4,6000,Personal,Charlotte NC,North Carolina,ID14,yes,1,N
ID8838,0,0,No,103,650,4,1,1K,54,50-59,Female,1,2003,2,1 to 10,1000,300K+,0,7838,1,1500,Small Business,Charlotte NC,North Carolina,ID11,no,1,N
ID8839,0,0,No,106,650,4,1,1K,37,30-39,Male,1,2004,5,1 to 10,2000,300K+,1,7839,1,5000,Small Business,Charlotte NC,North Carolina,ID14,no,1,N
ID8840,0,0,No,103,710,3,1,1K,72,70-79,Female,2,2008,21,21 to 30,4000,Less than 150K,0,7840,1,6500,Small Business,Greensboro/High Point NC,North Carolina,ID20,no,1,N
ID8841,17,11,No,99,710,2,0,1K,58,50-59,Female,1,2006,30,31 to 40,6000,Less than 150K,0,7841,1,11500,Small Business,Greensboro/High Point NC,North Carolina,ID20,yes,1,N
ID8842,30,19,No,104,650,2,1,10K,70,70-79,Female,1,2003,22,21 to 30,7000,Less than 150K,0,7842,1,10800,Small Business,Charlotte NC,North Carolina,ID14,yes,1,N
ID8843,0,0,No,106,710,2,1,1K,62,60-69,Female,1,2005,24,21 to 30,3000,Less than 150K,0,7843,1,9000,Small Business,Greensboro/High Point NC,North Carolina,ID10,no,1,N
ID8844,0,0,No,134,1005,4,0,1K,62,60-69,Male,2,2011,29,21 to 30,10000,300K+,0,7844,1,27000,Corporate,New York NY,New York,ID11,no,1,N
ID8845,21,14,No,139,1005,5,1,1K,30,30-39,Male,1,2009,8,1 to 10,5000,300K+,0,7845,1,3000,Personal,New York NY,New York,ID18,yes,1,N
ID8846,0,0,No,131,1005,5,1,10K,40,40-49,Male,2,2006,39,31 to 40,3000,300K+,2,7846,2,6000,Personal,New York NY,New York,ID10,no,1,N
ID8847,94,160,No,184,1005,4,1,1K,24,20-29,Male,1,2008,15,11 to 20,6000,300K+,0,7847,1,12000,Personal,New York NY,New York,ID18,yes,1,N
ID8848,0,0,No,123,1005,4,0,25K,56,50-59,Female,1,2003,26,21 to 30,34000,300K+,2,7848,2,3000,Personal,New York NY,New York,ID18,no,1,N
ID8849,0,0,No,133,1005,4,0,10K,29,20-29,Male,1,2009,2,1 to 10,5000,300K+,0,7849,1,6000,Personal,New York NY,New York,ID10,no,1,N
ID8850,39,38,No,150,1005,4,0,1K,46,40-49,Female,1,2010,22,21 to 30,3000,300K+,0,7850,1,6000,Personal,New York NY,New York,ID11,yes,1,N
ID8851,8,5,No,131,1005,4,1,25K,39,30-39,Female,1,2010,5,1 to 10,3000,300K+,2,7851,2,9000,Personal,New York NY,New York,ID10,no,1,N
ID8852,54,35,No,112,1005,2,0,1K,38,30-39,Male,1,2003,13,11 to 20,6000,300K+,2,7852,2,9000,Personal,New York NY,New York,ID11,yes,1,N
ID8853,0,0,No,137,1005,2,0,1K,38,30-39,Female,2,2006,44,41 to 50,10000,300K+,1,7853,1,3000,Personal,New York NY,New York,ID18,no,1,N
ID8854,10,10,No,128,1005,3,0,1K,48,40-49,Male,1,2005,4,1 to 10,7000,300K+,0,7854,1,3000,Personal,New York NY,New York,ID10,yes,1,N
ID8855,8,0,No,121,1005,4,0,1K,53,50-59,Female,1,2006,21,21 to 30,9000,300K+,0,7855,1,10500,Personal,New York NY,New York,ID11,no,1,N
ID8856,0,0,No,130,1005,3,1,1K,41,40-49,Female,1,2005,0,0,91000,300K+,2,7856,2,2000,Personal,New York NY,New York,ID18,no,1,N
ID8857,0,0,No,140,1005,4,0,1K,41,40-49,Female,1,2003,15,11 to 20,1000,300K+,0,7857,1,13000,Personal,New York NY,New York,ID11,no,1,N
ID8858,392,401,No,140,1005,2,1,1K,18,0-19,Male,2,2011,25,21 to 30,5000,Less than 150K,3,7858,3,1000,Personal,New York NY,New York,ID10,yes,1,N
ID8859,0,0,No,128,1005,4,0,25K,64,60-69,Female,2,2003,31,31 to 40,5000,Less than 150K,0,7859,1,2000,Personal,New York NY,New York,ID11,no,1,N
ID8860,0,0,No,126,1005,3,0,1K,74,70-79,Male,1,2011,29,21 to 30,5000,Less than 150K,0,7860,1,6500,Personal,New York NY,New York,ID11,no,1,N
ID8861,0,0,No,126,1005,4,1,1K,35,30-39,Female,1,2008,12,11 to 20,8000,300K+,3,7861,3,1000,Small Business,New York NY,New York,ID11,no,1,N
ID8862,0,19,No,144,910,4,0,25K,32,30-39,Male,2,2003,0,0,12000,300K+,2,7862,2,3000,Corporate,Louisville KY,Kentucky,ID21,yes,1,N
ID8863,0,11,No,131,948,3,1,1K,29,20-29,Female,2,2006,18,11 to 20,1000,Less than 150K,0,7863,1,4500,Corporate,Cincinnati OH,Kentucky,ID21,yes,1,N
ID8864,0,16,No,126,948,5,0,25K,44,40-49,Male,1,2009,13,11 to 20,21000,300K+,2,7864,2,6000,Personal,Cincinnati OH,Kentucky,ID21,yes,1,N
ID8865,0,0,No,134,948,4,1,1K,46,40-49,Female,2,2003,21,21 to 30,4000,300K+,0,7865,1,3000,Personal,Cincinnati OH,Kentucky,ID9,no,1,N
ID8866,14,17,No,138,948,4,1,10K,54,50-59,Male,1,2009,35,31 to 40,3000,300K+,0,7866,1,7000,Personal,Cincinnati OH,Kentucky,ID21,yes,1,N
ID8867,1,0,No,144,948,4,1,10K,50,50-59,Female,2,2006,16,11 to 20,5000,300K+,0,7867,1,3000,Personal,Cincinnati OH,Kentucky,ID9,no,1,N
ID8868,0,0,No,133,910,3,0,1K,28,20-29,Female,1,2008,14,11 to 20,1000,300K+,2,7868,2,1500,Personal,Louisville KY,Kentucky,ID11,no,1,N
ID8869,4,0,No,135,948,4,1,1K,38,30-39,Female,2,2006,13,11 to 20,10000,300K+,2,7869,2,3000,Personal,Cincinnati OH,Kentucky,ID9,no,1,N
ID8870,2,0,No,128,948,4,1,25K,43,40-49,Female,1,2004,16,11 to 20,9000,300K+,2,7870,2,4000,Personal,Cincinnati OH,Kentucky,ID9,no,1,N
ID8871,0,0,No,137,910,4,1,1K,36,30-39,Male,1,2006,17,11 to 20,2000,300K+,2,7871,2,0,Personal,Louisville KY,Kentucky,ID21,no,1,N
ID8872,0,0,No,127,910,4,1,1K,43,40-49,Female,1,2011,25,21 to 30,3000,300K+,2,7872,2,8500,Personal,Louisville KY,Kentucky,ID11,no,1,N
ID8873,0,2,No,142,910,4,1,10K,42,40-49,Female,1,2005,20,21 to 30,3000,300K+,3,7873,3,4500,Personal,Louisville KY,Kentucky,ID21,no,1,N
ID8874,0,0,No,141,948,5,0,25K,40,40-49,Female,1,2009,4,1 to 10,13000,300K+,2,7874,2,15000,Personal,Cincinnati OH,Kentucky,ID9,no,1,N
ID8875,34,25,No,130,910,3,1,1K,18,0-19,Female,1,2006,13,11 to 20,6000,300K+,2,7875,2,7000,Personal,Louisville KY,Kentucky,ID21,yes,1,N
ID8876,8,13,No,142,948,4,1,1K,48,40-49,Male,1,2006,1,1 to 10,4000,300K+,0,7876,1,2000,Personal,Cincinnati OH,Kentucky,ID9,yes,1,N
ID8877,0,8,No,145,948,5,0,25K,53,50-59,Female,1,2009,4,1 to 10,9000,300K+,0,7877,1,6500,Personal,Cincinnati OH,Kentucky,ID21,yes,1,N
ID8878,25,25,No,138,910,4,1,1K,32,30-39,Male,1,2009,10,11 to 20,5000,300K+,1,7878,1,3000,Personal,Louisville KY,Kentucky,ID20,yes,1,N
ID8879,0,0,No,138,910,3,0,5K,42,40-49,Female,2,2009,13,11 to 20,34000,300K+,2,7879,2,7900,Personal,Louisville KY,Kentucky,ID11,no,1,N
ID8880,0,4,No,145,948,4,0,1K,44,40-49,Female,1,2012,45,41 to 50,1000,300K+,1,7880,1,12000,Personal,Cincinnati OH,Kentucky,ID9,no,1,N
ID8881,10,8,No,132,948,2,1,1K,36,30-39,Female,2,2010,21,21 to 30,7000,300K+,1,7881,1,7500,Personal,Cincinnati OH,Kentucky,ID21,yes,1,N
ID8882,46,28,No,126,948,4,0,25K,35,30-39,Male,2,2005,21,21 to 30,7000,300K+,0,7882,1,1000,Personal,Cincinnati OH,Kentucky,ID21,yes,1,N
ID8883,0,0,No,141,910,3,1,1K,50,50-59,Male,2,2003,38,31 to 40,4000,300K+,0,7883,1,18000,Personal,Louisville KY,Kentucky,ID20,no,1,N
ID8884,0,0,No,138,948,3,1,1K,69,60-69,Male,3,2011,23,21 to 30,1000,300K+,0,7884,1,3000,Personal,Cincinnati OH,Kentucky,ID9,no,1,N
ID8885,0,0,No,135,948,4,1,1K,40,40-49,Female,1,2010,18,11 to 20,10000,300K+,2,7885,2,6000,Personal,Cincinnati OH,Kentucky,ID21,no,1,N
ID8886,0,2,No,147,948,4,0,1K,33,30-39,Male,2,2008,8,1 to 10,39000,150K - 300K,2,7886,2,3000,Personal,Cincinnati OH,Kentucky,ID9,no,1,N
ID8887,0,0,No,126,910,5,1,25K,41,40-49,Male,1,2007,19,11 to 20,9000,150K - 300K,1,7887,1,4500,Personal,Louisville KY,Kentucky,ID11,no,1,N
ID8888,11,12,No,123,948,2,1,1K,63,60-69,Female,1,2010,66,61 to 70,7000,Less than 150K,0,7888,1,1000,Personal,Cincinnati OH,Kentucky,ID20,yes,1,N
ID8889,72,77,No,133,948,2,0,1K,59,50-59,Male,2,2004,29,21 to 30,8000,Less than 150K,0,7889,1,6000,Personal,Cincinnati OH,Kentucky,ID21,yes,1,N
ID8890,0,10,No,148,948,2,0,1K,34,30-39,Female,2,2012,10,11 to 20,19000,Less than 150K,3,7890,3,2500,Personal,Cincinnati OH,Kentucky,ID21,yes,1,N
